Date;Google_Search_Ukraine;Donations (USD);Humanitarian help (tonnes);Military support (vehicles);Investments in Ukraine (FDI)
24.02.2022;;;;;
25.02.2022;;;;;
26.02.2022;;;;;
27.02.2022;100;;;;
28.02.2022;;;;;-540
01.03.2022;;;;;
02.03.2022;;;;;
03.03.2022;;;;;
04.03.2022;;;;;
05.03.2022;;;;;
06.03.2022;47;;;;
07.03.2022;;;;;
08.03.2022;;;;;
09.03.2022;;;;;
10.03.2022;;;;;
11.03.2022;;;;;
12.03.2022;;;;;
13.03.2022;33;;;;
14.03.2022;;;;;
15.03.2022;;;;;
16.03.2022;;;;;
17.03.2022;;;;;
18.03.2022;;;;;
19.03.2022;;;;;
20.03.2022;24;;;;
21.03.2022;;;;;
22.03.2022;;;;;
23.03.2022;;;;;
24.03.2022;;;;;
25.03.2022;;;;;
26.03.2022;;;;;
27.03.2022;17;;;;
28.03.2022;;;;;
29.03.2022;;;;;
30.03.2022;;;;;
31.03.2022;;;;;259
01.04.2022;;;;;
02.04.2022;;;;;
03.04.2022;16;;;;
04.04.2022;;;;;
05.04.2022;;;;;
06.04.2022;;;;;
07.04.2022;;;;;
08.04.2022;;;;;
09.04.2022;;;;;
10.04.2022;14;;;;
11.04.2022;;;;;
12.04.2022;;;;;
13.04.2022;;;;;
14.04.2022;;;;;
15.04.2022;;;;;
16.04.2022;;;;;
17.04.2022;14;;;;
18.04.2022;;;;;
19.04.2022;;;;;
20.04.2022;;;;;
21.04.2022;;;;;
22.04.2022;;;;;
23.04.2022;;;;;
24.04.2022;12;;;;
25.04.2022;;;;;
26.04.2022;;;;;
27.04.2022;;;;;
28.04.2022;;;;;
29.04.2022;;;;;
30.04.2022;;;;;83
01.05.2022;11;;;;
02.05.2022;;;;;
03.05.2022;;;;;
04.05.2022;;;;;
05.05.2022;;;;;
06.05.2022;;;;;
07.05.2022;;;;;
08.05.2022;11;;;;
09.05.2022;;;;;
10.05.2022;;;;;
11.05.2022;;;;;
12.05.2022;;;;;
13.05.2022;;;;;
14.05.2022;;;;;
15.05.2022;10;;;;
16.05.2022;;;;;
17.05.2022;;;;;
18.05.2022;;;;;
19.05.2022;;;;;
20.05.2022;;;;;
21.05.2022;;;;;
22.05.2022;8;;;;
23.05.2022;;;;;
24.05.2022;;;;;
25.05.2022;;;;;
26.05.2022;;;;;
27.05.2022;;;;;
28.05.2022;;;;;
29.05.2022;9;;;;
30.05.2022;;;;;
31.05.2022;;;;;
01.06.2022;;;;;
02.06.2022;;;;;
03.06.2022;;;;;
04.06.2022;;;;;
05.06.2022;8;;;;
06.06.2022;;;;;
07.06.2022;;;;;
08.06.2022;;;;;
09.06.2022;;;;;
10.06.2022;;;;;
11.06.2022;;;;;
12.06.2022;7;;;;
13.06.2022;;;;;
14.06.2022;;;;;
15.06.2022;;;;;
16.06.2022;;;;;
17.06.2022;;;;;
18.06.2022;;;;;
19.06.2022;7;;;;
20.06.2022;;;;;
21.06.2022;;;;;
22.06.2022;;;;;
23.06.2022;;;;;
24.06.2022;;;;;
25.06.2022;;;;;
26.06.2022;6;;;;
27.06.2022;;;;;
28.06.2022;;;;;
29.06.2022;;;;;
30.06.2022;;;;;
01.07.2022;;;;;
02.07.2022;;;;;
03.07.2022;0;;;;
04.07.2022;;;;;
05.07.2022;;;;;